views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,1.0175126597916675e-09,0.0,-2.9830781431036444e-11,0.0,-0.0564258817415878
0,0,0,2008-02-01,0.0,9.795119461047977e-10,0.0,-2.8875784932488644e-11,0.0,-0.05198577337080829
0,0,0,2008-03-01,0.0,9.415112324179278e-10,0.0,-2.7920788433940844e-11,0.0,-0.047545665000028776
0,0,0,2008-04-01,0.0,9.03510518731058e-10,0.0,-2.6965791935393044e-11,0.0,-0.04310555662924927
0,0,0,2008-05-01,0.0,8.655098050441881e-10,0.0,-2.6010795436845245e-11,0.0,-0.03866544825846975
0,0,0,2008-06-01,0.0,8.275090913573182e-10,0.0,-2.5055798938297445e-11,0.0,-0.03422533988769024
0,0,0,2008-07-01,0.0,7.895083776704484e-10,0.0,-2.4100802439749645e-11,0.0,-0.029785231516910732
0,0,0,2008-08-01,0.0,7.515076639835785e-10,0.0,-2.3145805941201845e-11,0.0,-0.02534512314613122
0,0,0,2008-09-01,0.0,7.135069502967087e-10,0.0,-2.2190809442654045e-11,0.0,-0.020905014775351706
0,0,0,2008-10-01,0.0,6.755062366098388e-10,0.0,-2.1235812944106245e-11,0.0,-0.016464906404572197
0,0,0,2008-11-01,0.0,6.375055229229689e-10,0.0,-2.0280816445558445e-11,0.0,-0.01202479803379268
0,0,0,2008-12-01,0.0,5.995048092360991e-10,0.0,-1.9325819947010645e-11,0.0,-0.007584689663013171
0,0,0,2009-01-01,0.0,5.615040955492292e-10,0.0,-1.8370823448462845e-11,0.0,-0.0031445812922336613
0,0,0,2009-02-01,0.0,5.235033818623594e-10,0.0,-1.7415826949915046e-11,0.0,0.001295527078545855
0,0,0,2009-03-01,0.0,4.855026681754895e-10,0.0,-1.6460830451367246e-11,0.0,0.0057356354493253645
0,0,0,2009-04-01,0.0,4.4750195448861966e-10,0.0,-1.5505833952819446e-11,0.0,0.010175743820104874
0,0,0,2009-05-01,0.0,4.095012408017498e-10,0.0,-1.4550837454271646e-11,0.0,0.01461585219088439
0,0,0,2009-06-01,0.0,3.7150052711487994e-10,0.0,-1.3595840955723846e-11,0.0,0.019055960561663907
0,0,0,2009-07-01,0.0,3.334998134280101e-10,0.0,-1.2640844457176046e-11,0.0,0.02349606893244341
0,0,0,2009-08-01,0.0,2.954990997411402e-10,0.0,-1.1685847958628246e-11,0.0,0.027936177303222925
0,0,0,2009-09-01,0.0,2.5749838605427037e-10,0.0,-1.0730851460080446e-11,0.0,0.03237628567400244
0,0,0,2009-10-01,0.0,2.194976723674005e-10,0.0,-9.775854961532646e-12,0.0,0.036816394044781944
0,0,0,2009-11-01,0.0,1.8149695868053065e-10,0.0,-8.820858462984847e-12,0.0,0.04125650241556146
0,0,0,2009-12-01,0.0,1.434962449936608e-10,0.0,-7.865861964437047e-12,0.0,0.04569661078634098
0,0,0,2010-01-01,0.0,1.0549553130679093e-10,0.0,-6.910865465889247e-12,0.0,0.05013671915712048
0,0,0,2010-02-01,0.0,6.749481761992107e-11,0.0,-5.955868967341447e-12,0.0,0.054576827527899996
0,0,0,2010-03-01,0.0,2.9494103933051217e-11,0.0,-5.000872468793647e-12,0.0,0.05901693589867951
0,0,0,2010-04-01,0.0,-8.506609753818641e-12,0.0,-4.045875970245847e-12,0.0,0.06345704426945903
0,0,0,2010-05-01,0.0,-4.65073234406885e-11,0.0,-3.0908794716980472e-12,0.0,0.06789715264023853
0,0,0,2010-06-01,0.0,-8.450803712755836e-11,0.0,-2.1358829731502473e-12,0.0,0.07233726101101803
0,0,0,2010-07-01,0.0,-1.2250875081442822e-10,0.0,-1.1808864746024474e-12,0.0,0.07677736938179755
0,0,0,2010-08-01,0.0,-1.6050946450129807e-10,0.0,-2.2588997605464755e-13,0.0,0.08121747775257707
0,0,0,2010-09-01,0.0,-1.9851017818816793e-10,0.0,7.291065224931523e-13,0.0,0.08565758612335658
0,0,0,2010-10-01,0.0,-2.365108918750378e-10,0.0,1.6841030210409522e-12,0.0,0.0900976944941361
0,0,0,2010-11-01,0.0,-2.7451160556190765e-10,0.0,2.639099519588752e-12,0.0,0.09453780286491562
