views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,2.0395944998260613e-08,0.0,-2.9255763576169243e-12,0.0,-0.022679257617475312
0,0,0,2008-02-01,0.0,2.017416951139675e-08,0.0,-3.4041032979120785e-12,0.0,-0.021345468272023167
0,0,0,2008-03-01,0.0,1.995239402453289e-08,0.0,-3.882630238207233e-12,0.0,-0.020011678926571023
0,0,0,2008-04-01,0.0,1.9730618537669026e-08,0.0,-4.361157178502387e-12,0.0,-0.01867788958111888
0,0,0,2008-05-01,0.0,1.9508843050805164e-08,0.0,-4.839684118797541e-12,0.0,-0.017344100235666734
0,0,0,2008-06-01,0.0,1.9287067563941302e-08,0.0,-5.318211059092695e-12,0.0,-0.01601031089021459
0,0,0,2008-07-01,0.0,1.906529207707744e-08,0.0,-5.7967379993878494e-12,0.0,-0.014676521544762443
0,0,0,2008-08-01,0.0,1.8843516590213578e-08,0.0,-6.275264939683004e-12,0.0,-0.013342732199310299
0,0,0,2008-09-01,0.0,1.8621741103349716e-08,0.0,-6.753791879978158e-12,0.0,-0.012008942853858154
0,0,0,2008-10-01,0.0,1.8399965616485853e-08,0.0,-7.232318820273312e-12,0.0,-0.01067515350840601
0,0,0,2008-11-01,0.0,1.817819012962199e-08,0.0,-7.710845760568467e-12,0.0,-0.009341364162953865
0,0,0,2008-12-01,0.0,1.795641464275813e-08,0.0,-8.189372700863621e-12,0.0,-0.00800757481750172
0,0,0,2009-01-01,0.0,1.7734639155894267e-08,0.0,-8.667899641158775e-12,0.0,-0.0066737854720495746
0,0,0,2009-02-01,0.0,1.7512863669030405e-08,0.0,-9.14642658145393e-12,0.0,-0.00533999612659743
0,0,0,2009-03-01,0.0,1.7291088182166543e-08,0.0,-9.624953521749084e-12,0.0,-0.004006206781145286
0,0,0,2009-04-01,0.0,1.706931269530268e-08,0.0,-1.0103480462044238e-11,0.0,-0.002672417435693141
0,0,0,2009-05-01,0.0,1.6847537208438818e-08,0.0,-1.0582007402339392e-11,0.0,-0.0013386280902409967
0,0,0,2009-06-01,0.0,1.6625761721574956e-08,0.0,-1.1060534342634546e-11,0.0,-4.838744788852184e-06
0,0,0,2009-07-01,0.0,1.6403986234711094e-08,0.0,-1.15390612829297e-11,0.0,0.0013289506006632923
0,0,0,2009-08-01,0.0,1.6182210747847232e-08,0.0,-1.2017588223224855e-11,0.0,0.0026627399461154368
0,0,0,2009-09-01,0.0,1.596043526098337e-08,0.0,-1.2496115163520009e-11,0.0,0.003996529291567581
0,0,0,2009-10-01,0.0,1.5738659774119507e-08,0.0,-1.2974642103815163e-11,0.0,0.005330318637019726
0,0,0,2009-11-01,0.0,1.5516884287255645e-08,0.0,-1.3453169044110317e-11,0.0,0.00666410798247187
0,0,0,2009-12-01,0.0,1.5295108800391783e-08,0.0,-1.3931695984405471e-11,0.0,0.007997897327924015
0,0,0,2010-01-01,0.0,1.507333331352792e-08,0.0,-1.4410222924700626e-11,0.0,0.009331686673376163
0,0,0,2010-02-01,0.0,1.4851557826664059e-08,0.0,-1.488874986499578e-11,0.0,0.010665476018828304
0,0,0,2010-03-01,0.0,1.4629782339800197e-08,0.0,-1.5367276805290934e-11,0.0,0.011999265364280452
0,0,0,2010-04-01,0.0,1.4408006852936334e-08,0.0,-1.5845803745586088e-11,0.0,0.013333054709732593
0,0,0,2010-05-01,0.0,1.4186231366072472e-08,0.0,-1.6324330685881242e-11,0.0,0.01466684405518474
0,0,0,2010-06-01,0.0,1.396445587920861e-08,0.0,-1.6802857626176397e-11,0.0,0.01600063340063688
0,0,0,2010-07-01,0.0,1.3742680392344748e-08,0.0,-1.728138456647155e-11,0.0,0.01733442274608903
0,0,0,2010-08-01,0.0,1.3520904905480886e-08,0.0,-1.7759911506766705e-11,0.0,0.01866821209154117
0,0,0,2010-09-01,0.0,1.3299129418617024e-08,0.0,-1.823843844706186e-11,0.0,0.02000200143699332
0,0,0,2010-10-01,0.0,1.3077353931753161e-08,0.0,-1.8716965387357013e-11,0.0,0.021335790782445466
0,0,0,2010-11-01,0.0,1.28555784448893e-08,0.0,-1.9195492327652168e-11,0.0,0.022669580127897607
0,0,0,2010-12-01,0.0,1.2633802958025437e-08,0.0,-1.9674019267947322e-11,0.0,0.024003369473349755
0,0,0,2011-01-01,0.0,1.2412027471161575e-08,0.0,-2.0152546208242476e-11,0.0,0.025337158818801896
0,0,0,2011-02-01,0.0,1.2190251984297713e-08,0.0,-2.063107314853763e-11,0.0,0.026670948164254044
0,0,0,2011-03-01,0.0,1.196847649743385e-08,0.0,-2.1109600088832784e-11,0.0,0.028004737509706185
0,0,0,2011-04-01,0.0,1.1746701010569988e-08,0.0,-2.158812702912794e-11,0.0,0.029338526855158333
0,0,0,2011-05-01,0.0,1.1524925523706126e-08,0.0,-2.2066653969423093e-11,0.0,0.030672316200610474
0,0,0,2011-06-01,0.0,1.1303150036842264e-08,0.0,-2.2545180909718247e-11,0.0,0.03200610554606262
0,0,0,2011-07-01,0.0,1.1081374549978402e-08,0.0,-2.30237078500134e-11,0.0,0.03333989489151476
0,0,0,2011-08-01,0.0,1.085959906311454e-08,0.0,-2.3502234790308555e-11,0.0,0.034673684236966915
0,0,0,2011-09-01,0.0,1.0637823576250678e-08,0.0,-2.398076173060371e-11,0.0,0.036007473582419056
0,0,0,2011-10-01,0.0,1.0416048089386815e-08,0.0,-2.4459288670898864e-11,0.0,0.0373412629278712
0,0,0,2011-11-01,0.0,1.0194272602522953e-08,0.0,-2.4937815611194018e-11,0.0,0.03867505227332334
0,0,0,2011-12-01,0.0,9.972497115659091e-09,0.0,-2.5416342551489172e-11,0.0,0.04000884161877548
0,0,0,2012-01-01,0.0,9.750721628795229e-09,0.0,-2.5894869491784326e-11,0.0,0.041342630964227634
0,0,0,2012-02-01,0.0,9.528946141931367e-09,0.0,-2.637339643207948e-11,0.0,0.042676420309679775
