views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2008-01-01,0.0,-453.7241931676844,0.0,-0.2348359314027395,0.0,-0.280091893325277
0,0,0,2008-02-01,0.0,-330.62542872472693,0.0,-0.11673279572024177,0.0,-0.21768841785047557
0,0,0,2008-03-01,0.0,-207.5266642817695,0.0,0.0013703399622559675,0.0,-0.15528494237567414
0,0,0,2008-04-01,0.0,-84.42789983881204,0.0,0.11947347564475369,0.0,-0.0928814669008727
0,0,0,2008-05-01,0.0,38.67086460414538,0.0,0.23757661132725144,0.0,-0.03047799142607127
0,0,0,2008-06-01,0.0,161.7696290471028,0.0,0.35567974700974914,0.0,0.031925484048730135
0,0,0,2008-07-01,0.0,284.8683934900603,0.0,0.4737828826922469,0.0,0.0943289595235316
0,0,0,2008-08-01,0.0,407.96715793301775,0.0,0.639762205929292,0.0,0.15673243499833306
0,0,0,2008-09-01,0.0,531.0659223759751,0.0,1.8013900682274069,0.0,0.21913591047313447
0,0,0,2008-10-01,0.0,654.1646868189325,0.0,2.9630179305255218,0.0,0.28153938594793587
0,0,0,2008-11-01,0.0,777.2634512618899,0.0,4.124645792823636,0.0,0.3439428614227373
4000,32,1,2008-12-01,1000.0,900.3622157048474,8.0,5.286273655121751,0.25,0.4063463368975388
3000,25,1,2009-01-01,1750.0,1023.460980147805,14.25,6.447901517419867,0.5,0.4687498123723402
0,0,0,2009-02-01,1750.0,1146.5597445907624,14.25,7.609529379717982,0.5,0.5311532878471417
0,0,0,2009-03-01,1750.0,1269.6585090337198,14.25,8.771157242016097,0.5,0.5935567633219432
2000,5,1,2009-04-01,1250.0,1392.7572734766773,7.5,9.932785104314211,0.5,0.6559602387967445
0,0,0,2009-05-01,500.0,1741.3056222313758,1.25,11.094412966612326,0.25,0.718363714271546
32000,420,3,2009-06-01,8500.0,5994.128526211952,106.25,106.22617566926911,1.0,0.7807671897463475
2000,9,1,2009-07-01,9000.0,10246.951430192528,108.5,129.85179177277354,1.25,0.8431706652211488
2000,12,1,2009-08-01,9000.0,9893.950281467472,110.25,99.56459466288797,1.25,0.9055741406959503
966,1,1,2009-09-01,9241.5,6923.410017852193,110.5,69.27739755300234,1.5,0.9679776161707516
3000,17,2,2009-10-01,1991.5,3952.869754236912,9.75,38.990200443116805,1.25,1.0303810916455531
0,0,0,2009-11-01,1491.5,982.3294906216324,7.5,8.703003333231209,1.0,1.0927845671203547
0,0,0,2009-12-01,991.5,1331.0017950873494,4.5,0.5615600979901956,0.75,1.155188042595156
26000,64,7,2010-01-01,7250.0,5685.956510158245,20.25,18.255041357768732,2.25,1.7483319509951245
6000,31,3,2010-02-01,8000.0,10040.911225229138,23.75,35.94852261754727,2.5,3.249822027278915
29000,127,9,2010-03-01,15250.0,14395.865940300035,55.5,53.642003877325806,4.75,4.7513121035627055
14000,82,7,2010-04-01,18750.0,16931.283873249602,76.0,71.33548513710434,6.5,6.252802179846496
10969,68,4,2010-05-01,14992.25,16123.59826293149,77.0,79.18260852886601,5.75,5.881270761891749
10000,40,3,2010-06-01,15992.25,15315.912652613399,79.25,73.78610678122573,5.75,5.4171994481168735
20619,71,7,2010-07-01,13897.0,14508.227042295293,65.25,68.3896050335859,5.25,4.953128134341998
8000,51,2,2010-08-01,12397.0,13700.541431977195,57.5,62.993103285945836,4.0,4.4890568205671215
5000,40,2,2010-09-01,10904.75,12892.85582165909,50.5,57.59660153830555,3.5,4.024985506792247
8000,58,5,2010-10-01,10404.75,12085.170211341,55.0,52.20009979066526,4.0,3.5609141930173713
32000,74,4,2010-11-01,13250.0,11277.484601022887,55.75,46.80359804302498,3.25,3.201844188243104
2000,8,1,2010-12-01,11750.0,10469.798990704789,45.0,41.40709629538537,3.0,2.9588620347305854
4000,9,2,2011-01-01,11500.0,9662.113380386683,37.25,36.01059454774486,3.0,2.715879881218065
10000,44,3,2011-02-01,12000.0,8854.427770068585,33.75,30.614092800104572,2.5,2.472897727705546
4000,18,1,2011-03-01,5000.0,8046.742159750487,19.75,25.21759105246474,1.75,2.2299155741930257
5000,4,2,2011-04-01,5750.0,7239.056549432367,18.75,19.82108930482491,2.0,1.986933420680509
862,2,1,2011-05-01,4965.5,6431.370939114262,17.0,14.424587557185077,1.75,1.743951267167992
17000,3,2,2011-06-01,6715.5,5623.685328796186,6.75,9.028085809544336,1.5,1.5009691136554715
792,1,1,2011-07-01,5913.5,4815.999718478037,2.5,3.6315840619049595,1.5,1.257986960142951
0,0,0,2011-08-01,4663.5,4008.314108159946,1.5,0.16168310125158314,1.0,1.0150048066304342
0,0,0,2011-09-01,4448.0,3200.62849784187,1.0,0.25340193984038706,0.75,0.7720226531179173
0,0,0,2011-10-01,198.0,2392.942887523779,0.25,0.34512077842873623,0.25,0.5290404996053968
3000,4,2,2011-11-01,750.0,2294.477373829446,1.0,0.4368396170170854,0.5,0.2860583460928763
9972,14,4,2011-12-01,3243.0,2249.268492359115,4.5,0.5285584556054346,1.5,1.4968485983628774
5000,35,2,2012-01-01,4493.0,2204.059610888755,13.25,0.620277294193329,2.0,2.283617774546464
751,1,1,2012-02-01,4680.75,2158.8507294183946,13.5,0.7119961327821329,2.25,1.9902067435114361
1000,7,1,2012-03-01,4180.75,2113.64184794802,14.25,0.8037149713700273,2.0,1.6967957124745894
741,2,1,2012-04-01,1873.0,2068.432966477718,11.25,0.8954338099583765,1.25,1.4033846814395616
1000,7,1,2012-05-01,873.0,2023.2240850073285,4.25,0.9871526485471804,1.0,1.1099736504045339
0,0,0,2012-06-01,685.25,1978.015203537012,4.0,1.0788714871350749,0.75,0.8165626193731441
0,0,0,2012-07-01,435.25,1932.8063220666081,2.25,1.170590325723424,0.5,0.5231515883308333
0,0,0,2012-08-01,250.0,1887.5974405962916,1.75,1.262309164312228,0.25,0.22974055729580556
0,0,0,2012-09-01,0.0,1842.3885591259168,0.0,1.3540280029010319,0.0,0.2087870755001049
0,0,0,2012-10-01,0.0,1797.179677655542,0.0,1.4457468414889263,0.0,0.2118618979993272
4000,2,1,2012-11-01,1000.0,1751.9707961852255,0.5,1.5374656800772755,0.25,0.2149367204985495
0,0,0,2012-12-01,1000.0,1706.7619147148798,0.5,1.6291845186660794,0.25,0.21801154301231662
0,0,0,2013-01-01,1000.0,1661.5530332444177,0.5,1.720903357255338,0.25,0.22108636551153893
0,0,0,2013-02-01,1000.0,1616.3441517741885,0.5,1.8126221958436872,0.25,0.22416118801076124
0,0,0,2013-03-01,0.0,1571.1352703038137,0.0,1.904341034431127,0.0,0.22723601052452835
0,0,0,2013-04-01,0.0,1525.926388833439,0.0,1.996059873019476,0.0,0.23031083302374356
1000,1,1,2013-05-01,250.0,1480.7175073631224,0.25,2.0877787116087347,0.25,0.23338565553751778
0,0,0,2013-06-01,250.0,1435.5086258927186,0.25,2.1794975501961744,0.25,0.2364604780367472
23000,23,2,2013-07-01,6000.0,1390.299744422431,6.0,2.2712163887845236,0.75,0.2395353005505143
0,0,0,2013-08-01,6000.0,1345.0908629520854,6.0,2.3629352273728728,0.75,0.2426101230351847
2000,2,1,2013-09-01,6250.0,1299.8819814816525,6.25,2.454654065961222,0.75,0.24568494554895182
0,0,0,2013-10-01,6250.0,1254.6731000113941,6.25,2.546372904549571,0.75,0.2487597680190703
0,0,0,2013-11-01,500.0,1209.4642185409612,0.5,2.6380917431379203,0.25,0.2518345905473893
0,0,0,2013-12-01,500.0,1164.2553370706155,0.5,2.7298105817262694,0.25,0.25490941304661874
0,0,0,2014-01-01,0.0,1119.046455600328,0.0,2.8215294203146186,0.0,0.25798423557493777
0,0,0,2014-02-01,0.0,1073.8375741299242,0.0,2.913248258902968,0.0,0.26105905804506335
0,0,0,2014-03-01,0.0,1028.6286926596076,0.0,3.004967097493136,0.0,0.2641338805733824
2000,1,1,2014-04-01,500.0,983.4198111892911,0.25,3.0966859360805756,0.25,0.2672087030725976
0,0,0,2014-05-01,500.0,938.2109297188581,0.25,3.1884047746680153,0.25,0.27028352554272317
0,0,0,2014-06-01,500.0,893.0020482485415,0.25,3.280123613257274,0.25,0.2733583480710422
0,0,0,2014-07-01,500.0,847.7931667781959,0.25,3.3718424518465326,0.25,0.2764331705702716
0,0,0,2014-08-01,0.0,802.584285307792,0.0,3.463561290433063,0.0,0.27950799309857643
0,0,0,2014-09-01,0.0,757.3754038374755,0.0,3.555280129021412,0.0,0.282582815568702
0,0,0,2014-10-01,0.0,712.1665223671007,0.0,3.646998967609761,0.0,0.2856576380679172
0,0,0,2014-11-01,0.0,666.9576408967259,0.0,3.7387178061981103,0.0,0.28873246059625046
3000,3,1,2014-12-01,750.0,656.1406535274,0.75,3.830436644789188,0.25,0.29180728306637604
0,0,0,2015-01-01,750.0,742.0250303696375,0.75,3.9221554833766277,0.25,0.29488210559468087
3000,2,1,2015-02-01,1500.0,827.9094072117587,1.25,4.013874321964977,0.5,0.2979569280939103
0,0,0,2015-03-01,1500.0,913.7937840538798,1.25,4.105593160553326,0.5,0.3010317506222293
0,0,0,2015-04-01,750.0,999.6781608960591,0.5,4.197311999141675,0.25,0.3041065731214587
