views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
14000,107,1,2010-05-01,3500.0,1007.7683675193823,26.75,16.674918660692292,0.25,0.202123652360229
0,0,0,2010-06-01,3500.0,1050.81237204271,26.75,26.57506399687599,0.25,0.21266336664619329
12000,25,1,2010-07-01,6500.0,1093.8563765660379,33.0,36.47520933305968,0.5,0.22320308093215757
4000,53,2,2010-08-01,7500.0,1136.9003810893655,46.25,39.47502445020277,1.0,0.23374279521812186
0,0,0,2010-09-01,4000.0,1179.9443856126934,19.5,29.57491512991483,0.75,0.24428250950408614
0,0,0,2010-10-01,4000.0,1222.9883901360213,19.5,19.67480580962689,0.75,0.25482222379005043
0,0,0,2010-11-01,1000.0,1266.032394659349,13.25,9.77469648933895,0.5,0.2653619380760147
0,0,0,2010-12-01,0.0,1309.0763991826768,0.0,4.7178426900440344,0.0,0.275901652361979
2000,3,1,2011-01-01,500.0,1352.1204037060045,0.75,4.905773288092517,0.25,0.2864413666479433
0,0,0,2011-02-01,500.0,1395.1644082293324,0.75,5.093703886141014,0.25,0.29698108093390757
0,0,0,2011-03-01,500.0,1438.20841275266,0.75,5.28163448418951,0.25,0.3075207952198718
0,0,0,2011-04-01,500.0,1481.252417275988,0.75,5.469565082238013,0.25,0.3180605095058361
0,0,0,2011-05-01,0.0,1524.2964217993156,0.0,5.657495680286523,0.0,0.32860022379180037
0,0,0,2011-06-01,0.0,1567.3404263226435,0.0,5.84542627833504,0.0,0.33913993807776466
2000,6,1,2011-07-01,500.0,1610.384430845971,1.5,6.033356876383522,0.25,0.34967965236372894
2000,3,1,2011-08-01,1000.0,1653.428435369299,2.25,6.221287474432003,0.5,0.36021936664969323
0,0,0,2011-09-01,1000.0,1696.4724398926267,2.25,6.409218072480513,0.5,0.3707590809356575
2000,18,1,2011-10-01,1500.0,1739.5164444159545,6.75,6.597148670528995,0.75,0.5625743573144161
1000,2,1,2011-11-01,1250.0,1782.5604489392822,5.75,6.785079268577476,0.75,0.9464871605535442
5000,10,3,2011-12-01,2000.0,2194.9238173258636,7.5,6.973009866625986,1.25,1.3303999637926724
28000,18,3,2012-01-01,9000.0,6894.16910046432,12.0,7.160940464674468,2.0,1.7143127670318006
0,0,0,2012-02-01,8500.0,11593.414383602776,7.5,7.348871062723049,1.75,2.0982255702709285
20877,15,4,2012-03-01,13469.25,16292.659666741232,10.75,7.536801660771516,2.5,2.4821383735100566
65000,44,5,2012-04-01,28469.25,20991.90494987969,19.25,7.724732258820012,3.0,2.8660511767491847
3000,20,1,2012-05-01,22219.25,25691.150233018143,19.75,7.912662856868508,2.5,2.7999886265516833
0,0,0,2012-06-01,22219.25,24057.485755754115,19.75,8.100593454917032,2.5,2.074987551838064
0,0,0,2012-07-01,17000.0,13322.97265845504,16.0,8.2885240529655,1.5,1.3499864771244448
0,0,0,2012-08-01,750.0,2588.4595611559635,5.0,8.476454651013995,0.25,0.6249854024108252
0,0,0,2012-09-01,0.0,-188.9703254920487,0.0,8.66438524906252,0.0,-0.10001567230279385
4000,47,1,2012-10-01,1000.0,1875.0362064509354,11.75,8.852315847111015,0.25,0.32501114423304145
14000,18,4,2012-11-01,4500.0,3939.042738393917,16.25,9.04024644515954,1.25,1.2750197432491248
9000,40,5,2012-12-01,6750.0,6003.049270336909,26.25,9.228177043208035,2.5,2.2250283422652073
2780,15,2,2013-01-01,7445.0,8067.055802279894,30.0,9.41610764125653,3.0,3.1750369412812915
36000,18,3,2013-02-01,15445.0,8578.088816950323,22.75,9.604038239305055,3.5,3.4248659724554242
4000,5,1,2013-03-01,12945.0,8282.287445072609,19.5,9.791968837353522,2.75,2.724984548438437
5000,10,1,2013-04-01,11945.0,7986.486073194887,12.0,9.979899435402046,1.75,2.0251031244214497
965,7,1,2013-05-01,11491.25,7690.684701317179,10.0,10.16783003345057,1.5,1.3252217004044642
0,0,0,2013-06-01,2491.25,7394.883329439443,5.5,10.355760631498981,0.75,0.952480401583097
21000,13,1,2013-07-01,6741.25,7099.081957561721,7.5,10.543691229547505,0.75,0.9610957881238535
3000,14,2,2013-08-01,6241.25,6803.280585683999,8.5,10.73162182759603,1.0,0.9697111746646048
2000,1,1,2013-09-01,6500.0,6507.479213806277,7.0,10.919552425644497,1.0,0.9783265612053604
0,0,0,2013-10-01,6500.0,6211.677841928555,7.0,11.107483023693021,1.0,0.9869419477461143
0,0,0,2013-11-01,1250.0,5915.876470050804,3.75,11.295413621741488,0.75,0.9955573342868735
0,0,0,2013-12-01,500.0,5620.075098173111,0.25,11.483344219790013,0.25,1.0041727208276239
654,2,1,2014-01-01,163.5,5324.273726295389,0.5,11.67127481783848,0.25,1.0127881073683795
0,0,0,2014-02-01,163.5,5028.472354417725,0.5,11.859205415887004,0.25,1.0214034939091317
0,0,0,2014-03-01,163.5,4732.670982540003,0.5,12.047136013935472,0.25,1.0300188804498873
7000,18,3,2014-04-01,1913.5,4436.869610662252,5.0,12.235066611983939,1.0,1.0386342669906465
8000,29,3,2014-05-01,3750.0,4141.068238784501,11.75,12.422997210032463,1.5,1.0472496535314022
2000,12,1,2014-06-01,4250.0,3845.266866906808,14.75,12.610927808080987,1.75,1.0558650400721579
7920,31,3,2014-07-01,6230.0,3549.465495029115,22.5,12.798858406129455,2.5,1.0644804266129064
1000,15,1,2014-08-01,4730.0,3253.664123151364,21.75,12.986789004177922,2.0,1.0730958131536639
2000,3,1,2014-09-01,3230.0,2957.862751273671,15.25,13.17471960222656,1.5,1.0817111996944213
0,0,0,2014-10-01,2730.0,2662.061379395949,12.25,13.362650200275084,1.25,1.0903265862351716
0,0,0,2014-11-01,750.0,2366.260007518227,4.5,13.550580798323608,0.5,1.0989419727759255
4000,7,2,2014-12-01,1500.0,2070.458635640447,2.5,13.738511396371848,0.75,1.1075573593166794
10000,26,2,2015-01-01,3500.0,1774.657263762725,8.25,13.926441994420372,1.0,1.1161727458574369
3000,13,1,2015-02-01,4250.0,1478.8558918850613,11.5,14.114372592468897,1.25,1.1247881323981872
0,0,0,2015-03-01,4250.0,1183.0545200073393,11.5,14.302303190517364,1.25,1.133403518938941
0,0,0,2015-04-01,3250.0,887.2531481296173,9.75,14.490233788565888,0.75,1.1420189054797092
3000,28,1,2015-05-01,1500.0,591.4517762518954,10.25,14.678164386614412,0.5,1.1506342920204524
2000,5,1,2015-06-01,1250.0,1250.2753348025726,8.25,14.866094984662823,0.5,1.159249678561217
27000,100,3,2015-07-01,8000.0,8000.195873127086,33.25,15.054025582711347,1.25,1.1678650651019638
15000,29,2,2015-08-01,11750.0,10650.177290095133,40.5,15.241956180759871,1.75,1.176480451642714
10000,14,3,2015-09-01,13500.0,10164.01205187937,37.0,15.429886778808623,2.25,1.185095838183475
4000,23,1,2015-10-01,14000.0,9677.846813663491,41.5,15.617817376857147,2.25,1.1937112247242396
7000,28,2,2015-11-01,9000.0,9191.68157544767,23.5,15.805747974905671,2.0,1.2023266112649864
2000,7,1,2015-12-01,5750.0,8705.516337231791,18.0,15.993678572953854,1.75,1.210941997805751
17000,44,5,2016-01-01,7500.0,8219.351099016087,25.5,16.181609171002265,2.25,1.2195573843464906
0,0,0,2016-02-01,6500.0,7733.185860800208,19.75,16.36953976905079,2.0,1.228172770887248
5000,29,1,2016-03-01,6000.0,7247.0206225843285,20.0,16.557470367099313,1.75,1.2367881574279949
0,0,0,2016-04-01,5500.0,6760.855384368508,18.25,16.745400965147837,1.5,1.2454035439687523
14000,25,1,2016-05-01,4750.0,6274.690146152803,13.5,16.93333156319636,0.5,1.2540189305095026
3000,9,1,2016-06-01,5500.0,5788.524907936924,15.75,17.121262161244886,0.75,1.2626343170502707
3000,0,1,2016-07-01,5000.0,5302.359669721045,8.5,17.309192759293296,0.75,1.2712497035910104
0,0,0,2016-08-01,5000.0,4816.194431505341,8.5,17.49712335734182,0.75,1.2798650901317785
0,0,0,2016-09-01,1500.0,4330.029193289403,2.25,17.68505395539023,0.5,1.2884804766725182
0,0,0,2016-10-01,750.0,3843.8639550735243,0.0,17.872984553438755,0.25,1.2970958632132792
9000,31,2,2016-11-01,2250.0,3357.6987168577034,7.75,18.06091515148728,0.5,1.305711442605265
5000,18,3,2016-12-01,3500.0,2871.5334786418825,12.25,18.248845749535803,1.25,1.3411961593930215
3000,8,1,2017-01-01,4250.0,2385.3682404260617,14.25,18.436776347584214,1.5,1.3766808761808136
0,0,0,2017-02-01,4250.0,1899.2030022101244,14.25,18.624706945632738,1.5,1.4121655929685772
0,0,0,2017-03-01,2000.0,1413.0377639943035,6.5,18.812637543681262,1.0,1.4476503097563693
3000,9,1,2017-04-01,1500.0,926.8725257785991,4.25,19.000568141729786,0.5,1.4831350265441472
6000,20,2,2017-05-01,2250.0,440.7072875627782,7.25,19.18849873977831,0.75,1.5186197433318895
0,0,0,2017-06-01,2250.0,885.7413768839758,7.25,19.37642933782672,0.75,1.5541044601196887
10000,34,3,2017-07-01,4750.0,2472.0021857980264,15.75,19.564359935875245,1.5,1.5895891769074382
2000,2,1,2017-08-01,4500.0,4058.2629947120777,14.0,19.752290533923656,1.5,1.6250738936952231
16000,20,5,2017-09-01,7000.0,5644.523803625895,14.0,19.94022113197218,2.25,1.6605586104829797
7000,38,2,2017-10-01,8750.0,7230.784612540063,23.5,20.128151730020704,2.75,1.6960433272707718
3000,12,1,2017-11-01,7000.0,8817.045421453997,18.0,20.31608232806923,2.25,1.7315280440585497
6000,27,1,2017-12-01,8000.0,10403.30623036828,24.25,20.504012926117753,2.25,1.7670127608463133
13000,46,3,2018-01-01,7250.0,11989.567039282332,30.75,20.691943524166277,1.75,1.802497477634084
13000,31,4,2018-02-01,8750.0,13575.82784819615,29.0,20.879874122214687,2.25,1.8379821944218406
10000,37,2,2018-03-01,10500.0,15162.088657110202,35.25,21.067804720263098,2.5,1.8734669112096185
59000,59,4,2018-04-01,23750.0,16748.349466024483,43.25,21.25573531831185,3.25,1.908951627997375
0,0,0,2018-05-01,20500.0,18334.610274938303,31.75,21.443665916360374,2.5,1.9444363447851885
11000,19,2,2018-06-01,20000.0,19920.87108385235,28.75,21.631596514408898,2.0,1.979921061572938
25000,31,4,2018-07-01,23750.0,21507.131892766403,27.25,21.819527112457422,2.5,2.0154057783607016
13000,26,3,2018-08-01,12250.0,12249.925207451375,19.0,22.007457710505946,2.25,2.050890495148465
0,0,0,2018-09-01,12250.0,10920.849765477145,19.0,22.195388308554357,2.25,2.0863752119362786
3000,4,1,2018-10-01,10250.0,10820.14199560479,15.25,22.38331890660288,2.0,2.1218599287240067
12000,35,3,2018-11-01,7000.0,10719.434225732097,16.25,22.571249504651405,1.75,2.157344645511813
9000,22,2,2018-12-01,6000.0,10618.726455859753,15.25,22.759180102699702,1.5,2.1928293622995696
8000,36,2,2019-01-01,8000.0,10518.018685987161,24.25,22.94711070074834,2.0,2.2283140790873404
19000,28,2,2019-02-01,12000.0,10417.3109161147,30.25,23.13504129879675,2.25,2.263798795875111
4000,17,2,2019-03-01,10000.0,10316.603146242123,25.75,23.322971896845388,2.0,2.299283512662889
9000,36,2,2019-04-01,10000.0,10215.895376369532,29.25,23.5109024948938,2.0,2.3347682294506598
4000,6,1,2019-05-01,9000.0,10115.187606497304,21.75,23.69883309294221,1.75,2.3702529462384447
10922,65,4,2019-06-01,6980.5,10014.479836624843,31.0,29.5999784252449,2.25,2.4057376630262084
11000,76,5,2019-07-01,8730.5,9913.772066752485,45.75,39.099981954355826,3.0,2.950267959579461
8000,30,3,2019-08-01,8480.5,9813.064296879893,44.25,48.59998548346789,3.25,3.6501202482403636
23000,97,8,2019-09-01,13230.5,9712.356527007563,67.0,58.09998901257882,5.0,4.349972536901281
7000,44,3,2019-10-01,12250.0,9611.648757134855,61.75,67.59999254169065,4.75,5.049824825562177
4000,23,3,2019-11-01,10500.0,9510.940987262526,48.5,77.09999607080181,4.25,4.8686167005400005
27741,268,6,2019-12-01,15435.25,9410.233217389905,108.0,86.59999959991364,5.0,4.490990575594558
7000,43,3,2020-01-01,11435.25,9309.525447517692,94.5,96.10000312902457,3.75,4.113364450649101
22000,64,4,2020-02-01,15185.25,9208.817677644896,99.5,105.60000665813618,4.0,3.7357383257035863
13000,118,2,2020-03-01,17435.25,9108.109907772538,123.25,115.10001018724756,3.75,3.358112200758164
12000,68,3,2020-04-01,13500.0,9007.402137900062,73.25,64.31238587333337,3.0,2.9804860758126575
2950,12,2,2020-05-01,12487.5,8906.69436802747,65.5,61.223150927895176,2.75,2.6028599508672077
6000,44,2,2020-06-01,8487.5,8805.986598155141,60.5,58.1339159824563,2.25,2.2252338259217
0,0,0,2020-07-01,5237.5,8705.278828282317,31.0,55.04468103701788,1.75,1.8476077009762655
10000,136,1,2020-08-01,4737.5,8604.571058410278,48.0,51.955446091579006,1.25,1.4699815760307722
4000,33,1,2020-09-01,5000.0,8503.863288537425,53.25,48.866211146140586,1.0,1.0923554510853073
3000,11,1,2020-10-01,4250.0,8403.155518665153,45.0,45.77697620070171,0.75,0.7147293261398442
2000,26,1,2020-11-01,4750.0,8302.447748792765,51.5,42.68774125526329,1.0,0.7916642001131606
9000,76,3,2020-12-01,4500.0,8201.739978920261,36.5,45.10394178374574,1.5,1.79761815160386
12000,133,5,2021-01-01,6500.0,8101.032209047524,61.5,59.95815454144771,2.5,2.8035721030945293
17816,95,8,2021-02-01,10204.0,8000.324439175718,82.5,74.81236729914946,4.25,3.8095260545852128
2000,5,1,2021-03-01,10204.0,10203.394660453429,77.25,89.66658005685166,4.25,4.815480006075923
37000,271,11,2021-04-01,17204.0,17203.91402629536,126.0,104.52079281455363,6.25,5.821433957566612
43763,136,11,2021-05-01,25144.75,22841.95774685324,126.75,119.37500557225583,7.75,6.827387909057297
10781,57,5,2021-06-01,23386.0,21997.923373370522,117.25,134.22921832995758,7.0,7.833341860548021
22000,132,4,2021-07-01,28386.0,21153.888999889197,149.0,149.08343108765976,7.75,7.749973876226051
6000,50,2,2021-08-01,20636.0,20309.854626406886,93.75,79.61896130723271,5.5,5.5000056889879865
9000,44,4,2021-09-01,11945.25,19465.820252925037,70.75,81.90473055880759,3.75,4.034313852738392
9000,89,3,2021-10-01,11500.0,18621.78587944278,78.75,84.19049981038205,3.25,4.1568628606516285
34000,126,7,2021-11-01,14500.0,17777.75150596076,77.25,86.47626906195694,4.0,4.279411868564902
24000,131,7,2021-12-01,19000.0,16933.717132478392,97.5,88.76203831353172,5.25,4.401960876478204
6341,30,4,2022-01-01,18335.25,16089.682758996605,94.0,91.04780756510661,5.25,4.524509884391398
17000,94,4,2022-02-01,20335.25,15245.648385514345,95.25,90.29984362788707,5.5,4.647058892304678
11000,62,5,2022-03-01,14585.25,14401.614012032267,79.25,84.22484203017086,5.0,4.769607900218007
11393,107,5,2022-04-01,11433.5,13557.579638550189,73.25,78.14984043245397,4.5,4.892156908131245
7651,45,3,2022-05-01,11761.0,12713.545265067994,77.0,72.07483883473765,4.25,5.014705916044527
7723,38,5,2022-06-01,9441.75,11869.510891585858,63.0,71.97932368849611,4.5,5.137254923957769
2576,19,3,2022-07-01,7335.75,11025.476518103897,52.25,74.02095722241694,4.0,5.259803931871023
23091,230,12,2022-08-01,10260.25,10181.442144621746,83.0,76.06259075633733,5.75,5.382352939784308
8360,83,6,2022-09-01,10437.5,9337.407771140133,92.5,78.1042242902577,6.5,5.50490194769754
9261,67,7,2022-10-01,10822.0,8493.373397657706,99.75,80.14585782417853,7.0,5.62745095561084
4791,64,4,2022-11-01,11375.75,7649.339024175744,111.0,82.18749135809938,7.25,5.749999963524154
4393,62,4,2022-12-01,6701.25,6805.304650693957,69.0,84.22912489201977,5.25,5.872548971437382
2000,57,2,2023-01-01,5111.25,5961.270277211761,62.5,86.27075842594073,4.25,5.995097979350638
